Ticker,Date,Viajes_por_dia,Pasajeros_por_dia,Distancia_millas,borough,Tipo_de_taxi,Model,CO2_Emissions_lb_mill,FuelConsumption_City _L_mill,CO2_Trip_Lb,Fuel_Trip_Lt
AIMPEC,13/03/2022,823,750,3853.29,Brooklyn,yellow,2019,0.99,8.59,3814.757,33099.761
AIMPEC,13/03/2022,10052,14159,126325.4,Queens,yellow,2019,0.99,8.59,125062.146,1085135.186
AIMPEC,14/03/2022,85442,113552,754960.82,Manhattan,yellow,2019,0.99,8.59,747411.212,6485113.444
AIMPEC,14/03/2022,24,42,10.79,EWR,yellow,2019,0.99,8.59,10.682,92.686
AIMPEC,14/03/2022,670,603,3235.14,Brooklyn,yellow,2019,0.99,8.59,3202.789,27789.853
AIMPEC,15/03/2022,9539,13795,117002.9,Queens,yellow,2019,0.99,8.59,115832.871,1005054.911
AIMPEC,15/03/2022,100696,132660,591251.86,Manhattan,yellow,2019,0.99,8.59,585339.341,5078853.477
AIMPEC,16/03/2022,136,143,765.19,Bronx,yellow,2019,0.99,8.59,757.538,6572.982
AIMPEC,16/03/2022,108167,143743,486347.48,Manhattan,yellow,2019,0.99,8.59,481484.005,4177724.853
AIMPEC,17/03/2022,1,1,0.97,Manhattan,yellow,2019,0.99,8.59,0.96,8.332
AIMPEC,18/03/2022,115082,156963,503410.26,Manhattan,yellow,2019,0.99,8.59,498376.157,4324294.133
AIMPEC,18/03/2022,8,12,27.21,Staten Island,yellow,2019,0.99,8.59,26.938,233.734
AIMPEC,19/03/2022,12,12,72.25,Staten Island,yellow,2019,0.99,8.59,71.528,620.627
AIMPEC,19/03/2022,8291,12276,105993.59,Queens,yellow,2019,0.99,8.59,104933.654,910484.938
AIMPEC,20/03/2022,86440,120445,293869.95,Manhattan,yellow,2019,0.99,8.59,290931.25,2524342.87
AIMPEC,20/03/2022,5,5,69,Staten Island,yellow,2019,0.99,8.59,68.31,592.71
AIMPEC,20/03/2022,11160,15777,146265.69,Queens,yellow,2019,0.99,8.59,144803.033,1256422.277
AIMPEC,22/03/2022,2,6,6.54,Manhattan,yellow,2019,0.99,8.59,6.475,56.179
AIMPEC,22/03/2022,581,593,42700.83,Brooklyn,yellow,2019,0.99,8.59,42273.822,366800.13
AIMPEC,22/03/2022,9744,13658,141576.34,Queens,yellow,2019,0.99,8.59,140160.577,1216140.761
AIMPEC,23/03/2022,140,147,731.95,Bronx,yellow,2019,0.99,8.59,724.63,6287.45
AIMPEC,24/03/2022,28,49,1.91,EWR,yellow,2019,0.99,8.59,1.891,16.407
AIMPEC,24/03/2022,12,12,123.37,Staten Island,yellow,2019,0.99,8.59,122.136,1059.748
AIMPEC,25/03/2022,21,32,0.94,EWR,yellow,2019,0.99,8.59,0.931,8.075
AIMPEC,26/03/2022,914,976,92272.64,Brooklyn,yellow,2019,0.99,8.59,91349.914,792621.978
AIMPEC,27/03/2022,32,56,0.84,EWR,yellow,2019,0.99,8.59,0.832,7.216
AIMPEC,28/03/2022,640,560,3222.46,Brooklyn,yellow,2019,0.99,8.59,3190.235,27680.931
AIMPEC,28/03/2022,16,29,41.84,EWR,yellow,2019,0.99,8.59,41.422,359.406
AIMPEC,29/03/2022,111233,144202,375503.63,Manhattan,yellow,2019,0.99,8.59,371748.594,3225576.182
AIMPEC,01/04/2022,22,35,37.67,EWR,yellow,2019,0.99,8.59,37.293,323.585
AIMPEC,02/04/2022,8599,12947,110522.24,Queens,yellow,2019,0.99,8.59,109417.018,949386.042
AIMPEC,03/04/2022,90853,127913,401139.83,Manhattan,yellow,2019,0.99,8.59,397128.432,3445791.14
AIMPEC,06/04/2022,112210,146101,720463.32,Manhattan,yellow,2019,0.99,8.59,713258.687,6188779.919
AIMPEC,06/04/2022,141,144,819.13,Bronx,yellow,2019,0.99,8.59,810.939,7036.327
AIMPEC,07/04/2022,6,8,54.2,Staten Island,yellow,2019,0.99,8.59,53.658,465.578
AIMPEC,07/04/2022,149,162,767.68,Bronx,yellow,2019,0.99,8.59,760.003,6594.371
AIMPEC,08/04/2022,23,35,0.24,EWR,yellow,2019,0.99,8.59,0.238,2.062
AIMPEC,08/04/2022,11082,16405,139318.49,Queens,yellow,2019,0.99,8.59,137925.305,1196745.829
AIMPEC,08/04/2022,116569,157226,455124.13,Manhattan,yellow,2019,0.99,8.59,450572.889,3909516.277
AIMPEC,09/04/2022,9,9,63.8,Staten Island,yellow,2019,0.99,8.59,63.162,548.042
AIMPEC,10/04/2022,10445,15331,137800.54,Queens,yellow,2019,0.99,8.59,136422.535,1183706.639
AIMPEC,10/04/2022,8,8,121.72,Staten Island,yellow,2019,0.99,8.59,120.503,1045.575
AIMPEC,14/04/2022,115960,156467,492675.43,Manhattan,yellow,2019,0.99,8.59,487748.676,4232081.944
AIMPEC,15/04/2022,109398,155720,460113.06,Manhattan,yellow,2019,0.99,8.59,455511.929,3952371.185
AIMPEC,15/04/2022,143,158,738.46,Bronx,yellow,2019,0.99,8.59,731.075,6343.371
AIMPEC,16/04/2022,13,13,170.94,Staten Island,yellow,2019,0.99,8.59,169.231,1468.375
AIMPEC,18/04/2022,11,10,162.23,Staten Island,yellow,2019,0.99,8.59,160.608,1393.556
AIMPEC,19/04/2022,15,14,181.03,Staten Island,yellow,2019,0.99,8.59,179.22,1555.048
AIMPEC,19/04/2022,109,105,650.79,Bronx,yellow,2019,0.99,8.59,644.282,5590.286
AIMPEC,20/04/2022,9818,14366,121302.64,Queens,yellow,2019,0.99,8.59,120089.614,1041989.678
AIMPEC,21/04/2022,778,836,3723.64,Brooklyn,yellow,2019,0.99,8.59,3686.404,31986.068
AIMPEC,23/04/2022,42,81,29.48,EWR,yellow,2019,0.99,8.59,29.185,253.233
AIMPEC,24/04/2022,145,167,669.52,Bronx,yellow,2019,0.99,8.59,662.825,5751.177
AIMPEC,25/04/2022,92766,121924,233615.93,Manhattan,yellow,2019,0.99,8.59,231279.771,2006760.839
AIMPEC,25/04/2022,6,6,118.3,Staten Island,yellow,2019,0.99,8.59,117.117,1016.197
AIMPEC,26/04/2022,10,10,129.3,Staten Island,yellow,2019,0.99,8.59,128.007,1110.687
AIMPEC,27/04/2022,824,764,3934.45,Brooklyn,yellow,2019,0.99,8.59,3895.105,33796.926
AIMPEC,27/04/2022,139,153,774.41,Bronx,yellow,2019,0.99,8.59,766.666,6652.182
AIMPEC,28/04/2022,915,831,158347.68,Brooklyn,yellow,2019,0.99,8.59,156764.203,1360206.571
AIMPEC,28/04/2022,37,50,2.44,EWR,yellow,2019,0.99,8.59,2.416,20.96
AIMPEC,29/04/2022,167,161,894.54,Bronx,yellow,2019,0.99,8.59,885.595,7684.099
AIMPEC,29/04/2022,31,53,29.33,EWR,yellow,2019,0.99,8.59,29.037,251.945
AIMPEC,29/04/2022,6,6,58.4,Staten Island,yellow,2019,0.99,8.59,57.816,501.656
AIMPEC,30/04/2022,3,4,38.02,Queens,yellow,2019,0.99,8.59,37.64,326.592
AIMPEC,30/04/2022,8638,12463,110465.01,Queens,yellow,2019,0.99,8.59,109360.36,948894.436
AIMPEC,01/05/2022,42,59,115.27,Manhattan,yellow,2019,0.99,8.59,114.117,990.169
AIMPEC,01/05/2022,10483,14525,135451.39,Queens,yellow,2019,0.99,8.59,134096.876,1163527.44
AIMPEC,03/05/2022,3,10,6.01,Manhattan,yellow,2019,0.99,8.59,5.95,51.626
AIMPEC,03/05/2022,7,7,133.62,Staten Island,yellow,2019,0.99,8.59,132.284,1147.796
AIMPEC,04/05/2022,10,10,128.5,Staten Island,yellow,2019,0.99,8.59,127.215,1103.815
AIMPEC,06/05/2022,4,15,3.6,Manhattan,yellow,2019,0.99,8.59,3.564,30.924
AIMPEC,06/05/2022,139,141,621.47,Bronx,yellow,2019,0.99,8.59,615.255,5338.427
AIMPEC,07/05/2022,125,128,566.23,Bronx,yellow,2019,0.99,8.59,560.568,4863.916
AIMPEC,07/05/2022,107302,150392,562326.58,Manhattan,yellow,2019,0.99,8.59,556703.314,4830385.322
AIMPEC,07/05/2022,6,6,62.7,Staten Island,yellow,2019,0.99,8.59,62.073,538.593
AIMPEC,08/05/2022,943,812,4878.23,Brooklyn,yellow,2019,0.99,8.59,4829.448,41903.996
AIMPEC,09/05/2022,18,27,17.91,EWR,yellow,2019,0.99,8.59,17.731,153.847
AIMPEC,09/05/2022,611,622,3089.24,Brooklyn,yellow,2019,0.99,8.59,3058.348,26536.572
AIMPEC,09/05/2022,132,133,739.36,Bronx,yellow,2019,0.99,8.59,731.966,6351.102
AIMPEC,10/05/2022,776,758,88553.58,Brooklyn,yellow,2019,0.99,8.59,87668.044,760675.252
AIMPEC,10/05/2022,10,15,0.1,EWR,yellow,2019,0.99,8.59,0.099,0.859
AIMPEC,11/05/2022,158,169,764.18,Bronx,yellow,2019,0.99,8.59,756.538,6564.306
AIMPEC,12/05/2022,10706,15324,132780.67,Queens,yellow,2019,0.99,8.59,131452.863,1140585.955
