Fecha,Pasajeros por dia,Viajes por dia,Tarifario por dia,Total recaudado por dia,Pago con tarjeta,Pago con efectivo,Tipo de Taxi
2020-01-01,11939,10970,178240.34,211721.5,4432,4303,green
2020-01-02,12372,15023,256021.12,298001.73,4780,4633,green
2020-01-03,1,1,10.0,10.8,0,1,green
2020-01-03,3,3,31.0,33.400000000000006,0,3,green
2020-01-03,13839,16062,260652.48,305897.52,5546,4994,green
2020-01-04,13919,14295,219445.78,257971.08000000002,5277,5290,green
2020-01-05,11133,12732,199701.86,233627.58000000002,4484,3932,green
2020-01-06,13613,16323,272291.97,317667.02,5307,4866,green
2020-01-07,13498,17027,293411.04,341433.03,5829,4545,green
2020-01-08,14159,17586,293722.09,344045.37,6184,4706,green
2020-01-09,15116,18491,312777.82,365336.34,6498,5064,green
2020-01-10,15412,18307,306925.64,359503.2,6461,5333,green
2020-01-11,15136,15175,235002.17,278203.21,6147,5385,green
2020-01-12,12206,13442,218332.49,255984.77,4964,4094,green
